date,provincia_destino_name,day_of_week,month,year,viajes
2022-09-01,"Balears, Illes",Thursday,9,2022,27489
2022-09-01,"Palmas, Las",Thursday,9,2022,17094
2022-09-01,Santa Cruz de Tenerife,Thursday,9,2022,14233
2022-09-02,"Balears, Illes",Friday,9,2022,29444
2022-09-02,"Palmas, Las",Friday,9,2022,16292
2022-09-02,Santa Cruz de Tenerife,Friday,9,2022,14650
2022-09-03,"Balears, Illes",Saturday,9,2022,25071
2022-09-03,"Palmas, Las",Saturday,9,2022,17243
2022-09-03,Santa Cruz de Tenerife,Saturday,9,2022,14529
2022-09-04,"Balears, Illes",Sunday,9,2022,26637
2022-09-04,"Palmas, Las",Sunday,9,2022,18316
2022-09-04,Santa Cruz de Tenerife,Sunday,9,2022,14707
2022-09-05,"Balears, Illes",Monday,9,2022,26728
2022-09-05,"Palmas, Las",Monday,9,2022,17392
2022-09-05,Santa Cruz de Tenerife,Monday,9,2022,16112
2022-09-06,"Balears, Illes",Tuesday,9,2022,22712
2022-09-06,"Palmas, Las",Tuesday,9,2022,14765
2022-09-06,Santa Cruz de Tenerife,Tuesday,9,2022,14043
2022-09-07,"Balears, Illes",Wednesday,9,2022,23583
2022-09-07,"Palmas, Las",Wednesday,9,2022,15554
2022-09-07,Santa Cruz de Tenerife,Wednesday,9,2022,13759
2022-09-08,"Balears, Illes",Thursday,9,2022,26486
2022-09-08,"Palmas, Las",Thursday,9,2022,15257
2022-09-08,Santa Cruz de Tenerife,Thursday,9,2022,14055
2022-09-09,"Balears, Illes",Friday,9,2022,29731
2022-09-09,"Palmas, Las",Friday,9,2022,16628
2022-09-09,Santa Cruz de Tenerife,Friday,9,2022,15551
2022-09-10,"Balears, Illes",Saturday,9,2022,23150
2022-09-10,"Palmas, Las",Saturday,9,2022,16617
2022-09-10,Santa Cruz de Tenerife,Saturday,9,2022,14939
2022-09-11,"Balears, Illes",Sunday,9,2022,25153
2022-09-11,"Palmas, Las",Sunday,9,2022,21318
2022-09-11,Santa Cruz de Tenerife,Sunday,9,2022,15422
2022-09-12,"Balears, Illes",Monday,9,2022,25031
