cod_provincia;desc_provincia;ine_auto_name;holiday_date;holiday_type;holiday_desc
21;Huelva;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
18;Granada;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
37;Salamanca;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
14;Córdoba;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
41;Sevilla;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
11;Cádiz;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
44;Teruel;Aragón;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
22;Huesca;Aragón;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
04;Almería;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
49;Zamora;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
24;León;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
09;Burgos;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
33;Asturias;Asturias, Principado de;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
30;Murcia;Murcia, Región de;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
50;Zaragoza;Aragón;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
29;Málaga;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
23;Jaén;Andalucía;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
34;Palencia;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
40;Segovia;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
05;Ávila;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
47;Valladolid;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
42;Soria;Castilla Y León;2023-01-02;Autonómico;Lunes siguiente a Año Nuevo
30;Murcia;Murcia, Región de;2023-01-06;Nacional;Epifanía del Señor
48;Bizkaia;País Vasco;2023-01-06;Nacional;Epifanía del Señor
24;León;Castilla Y León;2023-01-06;Nacional;Epifanía del Señor
02;Albacete;Castilla-La Mancha;2023-01-06;Nacional;Epifanía del Señor
41;Sevilla;Andalucía;2023-01-06;Nacional;Epifanía del Señor
12;Castellón/Castelló;Comunidad Valenciana;2023-01-06;Nacional;Epifanía del Señor
43;Tarragona;Cataluña;2023-01-06;Nacional;Epifanía del Señor
52;Melilla;Melilla, Ciudad Autónoma de;2023-01-06;Nacional;Epifanía del Señor
44;Teruel;Aragón;2023-01-06;Nacional;Epifanía del Señor
38;Santa Cruz de Tenerife;Canarias;2023-01-06;Nacional;Epifanía del Señor
37;Salamanca;Castilla Y León;2023-01-06;Nacional;Epifanía del Señor
